food_name,protein,fat,carb,calories,cholesterol,sodium
> 60FemaleLow0,45.79,20.35,65.42,523.33,66.67,433.33
> 60FemaleModerate0,54.4,24.18,77.71,621.67,66.67,433.33
> 60FemaleActive0,74.67,33.19,106.67,853.33,66.67,433.33
18 - 29FemaleLow0,50.9,22.62,72.71,581.67,66.67,500
18 - 29FemaleModerate0,60.38,26.83,86.25,690,100,500
18 - 29FemaleActive0,82.83,36.81,118.33,946.67,100,500
30 - 50FemaleLow0,50.17,22.3,71.67,573.33,66.67,500
30 - 50FemaleModerate0,59.35,26.38,84.79,678.33,100,500
30 - 50FemaleActive0,81.67,36.3,116.67,933.33,100,500
51 - 59FemaleLow0,50.17,22.3,71.67,573.33,66.67,433.33
51 - 59FemaleModerate0,59.35,26.38,84.79,678.33,66.67,433.33
51 - 59FemaleActive0,81.67,36.3,116.67,933.33,66.67,433.33
> 60MaleLow0,34.56,15.36,49.38,395,66.67,433.33
> 60MaleModerate0,65.19,28.97,93.13,745,66.67,433.33
> 60MaleActive0,89.54,39.8,127.92,1023.33,66.67,433.33
18 - 29MaleLow0,66.5,29.56,95,760,66.67,500
18 - 29MaleModerate0,78.75,35,112.5,900,100,500
18 - 29MaleActive0,108.5,48.22,155,1240,100,500
30 - 50MaleLow0,63.73,28.32,91.04,728.33,66.67,500
30 - 50MaleModerate0,75.54,33.57,107.92,863.33,100,500
30 - 50MaleActive0,103.83,46.15,148.33,1186.67,100,500
51 - 59MaleLow0,63.73,28.32,91.04,728.33,66.67,433.33
51 - 59MaleModerate0,75.54,33.57,107.92,863.33,66.67,433.33
51 - 59MaleActive0,103.83,46.15,148.33,1186.67,66.67,433.33
> 60FemaleLow1,45.79,20.35,65.42,523.33,66.67,433.33
> 60FemaleModerate1,54.4,24.18,77.71,621.67,66.67,433.33
> 60FemaleActive1,74.67,33.19,106.67,853.33,66.67,433.33
18 - 29FemaleLow1,50.9,22.62,72.71,581.67,66.67,500
18 - 29FemaleModerate1,60.38,26.83,86.25,690,66.67,500
18 - 29FemaleActive1,82.83,36.81,118.33,946.67,66.67,500
30 - 50FemaleLow1,50.17,22.3,71.67,573.33,66.67,500
30 - 50FemaleModerate1,59.35,26.38,84.79,678.33,66.67,500
30 - 50FemaleActive1,81.67,36.3,116.67,933.33,66.67,500
51 - 59FemaleLow1,50.17,22.3,71.67,573.33,66.67,433.33
51 - 59FemaleModerate1,59.35,26.38,84.79,678.33,66.67,433.33
51 - 59FemaleActive1,81.67,36.3,116.67,933.33,66.67,433.33
> 60MaleLow1,34.56,15.36,49.38,395,66.67,433.33
> 60MaleModerate1,65.19,28.97,93.13,745,66.67,433.33
> 60MaleActive1,89.54,39.8,127.92,1023.33,66.67,433.33
18 - 29MaleLow1,66.5,29.56,95,760,66.67,500
18 - 29MaleModerate1,78.75,35,112.5,900,66.67,500
18 - 29MaleActive1,108.5,48.22,155,1240,66.67,500
30 - 50MaleLow1,63.73,28.32,91.04,728.33,66.67,500
30 - 50MaleModerate1,75.54,33.57,107.92,863.33,66.67,500
30 - 50MaleActive1,103.83,46.15,148.33,1186.67,66.67,500
51 - 59MaleLow1,63.73,28.32,91.04,728.33,66.67,433.33
51 - 59MaleModerate1,75.54,33.57,107.92,863.33,66.67,433.33
51 - 59MaleActive1,103.83,46.15,148.33,1186.67,66.67,433.33
