food_name,protein,fat,carb,calories,cholesterol,sodium,cuisine
Plain porridge,2.3,0.51,15.1,74.24,0,382.2,chinese
Stir fried mixed vegetables,1.94,6.21,2.81,75.66,6.79,418.07,chinese
Fried tang hoon,1.94,6.21,3.1,75.66,166.06,418.07,chinese
"Prawn, king, with shell, fried",14.01,1.46,1.82,76.5,123.77,344.69,chinese
Fried breaded cuttlefish ball,4.75,5.45,2.72,78.96,30.56,252.04,snack
"Beef, wrapped in turmeric leaf, salt and pepper, roasted (Malay)",16.08,2.34,0,85.42,54.69,274.12,malay
"Pork, with preserved vegetable, stir fried",10.14,4.59,1.27,87.31,15.21,362.07,chinese
Stir fried asparagus with scallop,8.56,5.15,2.03,88.68,10.44,187.8,chinese
"Beansprouts with salted fish, stir fried",4.78,7.06,1.62,88.8,3.32,690.77,chinese
Stewed taupok,3.3,7.7,1.72,89.32,0,177.32,snack
"Soup, soft tofu, with prawn",8.21,5.99,1.59,93.04,13.42,490.47,chinese
Pig's stomach soup,16.62,2.88,0.38,93.88,37.08,630.57,chinese
Braised egg in soya sauce,7.8,6.81,0.62,94.64,238.16,287.04,snack
Malay style fried spicy prawn,12.45,4.49,1.24,94.82,99.02,387.49,malay
Stir fried broccoli,13.78,13.94,2.35,98.48,115.92,520.8,chinese
Braised small intestine,11.15,6.02,0,98.82,150.83,565.42,chinese
Indian stewed potato and peas,4.47,4.33,10.62,99.25,0,381.63,indian
"Stir fried chicken, with beansprouts",8.55,6.72,1.13,99.28,31.21,202.68,chinese
"Chicken, fried",84.06,6.72,1.13,99.28,31.21,202.68,western
"Crocodile meat, stir fried",10.55,4.29,5.14,101.38,15.54,68.45,chinese
"Taukwa, pan fried",9.29,7.29,0.36,103.63,0,301.6,chinese
"Potato, carrot, cabbage, onion, spices, stewed (Indian)",2.31,4.33,13.69,103.79,0,394.08,indian
Bergedil,2.01,6.61,9.07,107.11,14.64,81.78,snack
"Ngoh hiang, meat roll, bung bung",6.34,3.38,13.75,110.16,3.6,868.32,chinese
Barbecued spare ribs,6.37,8.87,1.39,110.72,25.59,152.73,western
Assam petai (Malay),8.25,6.68,4.32,111.35,23.97,320.69,malay
"Curry green dhal, without coconut milk",9.18,3.08,11.78,111.52,0,280.85,indian
Chawamushi,8.44,7.94,2.64,115.82,205.47,329.22,others
Tofu with minced pork and mushroom,12.06,6.6,2.46,117.52,15.5,398.42,chinese
Crispy pork floss,9.69,1.77,15.66,117.6,5.4,410.1,snack
"Prawn masala, stir-fried",8.19,6.89,5.85,118.3,22.1,244.4,indian
Char siew,5.36,2.68,19.24,122.45,77.6,205.07,chinese
"Pork, lean, minced, with salted fish, steamed",15.92,6.41,0.53,123.71,40.73,598.91,chinese
"Stomach, in dark sauce, braised",17.71,6.16,0,126.36,167.4,494.64,snack
Steamed egg with tofu,9.06,9.84,0.65,127.37,187.11,519,chinese
Fish tikka,22.87,3.76,0.59,127.71,21.78,413.82,indian
Fried mutton steak,14.29,7.91,0.2,129.15,55.12,315.94,western
"Chick peas, with tomato and chilli, stir fried (Indian)",7.49,6.09,11.14,129.35,0,279.06,indian
"Cabbage, in coconut milk, stewed",4.34,11.39,2.77,130.13,36.95,414.24,chinese
Curry Puff ,4,8,11,131,0,168,malay
Yakitori chicken,4.66,11.2,3.01,131.25,47.64,210.7,others
Claypot chicken with dark soya sauce,14.1,7.85,1.24,132,39.24,681.48,chinese
Steamed mantou,2.65,1.35,27.46,132.08,0,68.64,snack
Fried khun neng fish,19.08,6.23,0,132.24,80.56,250.04,chinese
Braised chicken with sea cucumber,10.67,9.18,1.84,132.65,54.7,279.49,chinese
Mixed vegetable bhujjia,3.72,4.51,19.8,133.28,15.68,358.68,indian
Assam fish,22.58,4.04,2.2,134.03,66.1,578.34,malay
Cooked jellyfish with sesame seed,9.49,2.99,17.49,134.85,24.09,646.78,snack
Ayam masak merah,11.72,8.37,3.68,137.27,43.52,213.16,malay
Teppanyaki chicken,15.39,8.36,0.95,140.6,31.35,520.6,others
Curry eggplant,4.87,19.4,3.32,140.7,37.67,485.26,malay
Ayam Goreng,16,9,0,141,56,228,malay
