,food_name,food_group,food_sub_group,serving_measure,nutrient,Energy_amount,nutrient_unit
0,"3-in-1 tea, powder","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Sachet (19g),Energy,58.33,kcal
1,Agedeshi tofu,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Pulses based dishes,Plate-16cm (12g),Energy,15.08,kcal
2,Assam petai (Malay),"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Plate-16cm (131g),Energy,111.35,kcal
3,Ayam kurmah,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-soup (16 and 1/2 cm) (519g),Energy,877.11,kcal
4,Baked otah bun,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Whole (67g),Energy,190.28,kcal
5,Barbecued spare ribs,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Piece (27.82g),Energy,110.72,kcal
6,"Beef satay, without satay sauce","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Stick (12g),Energy,28.74,kcal
7,Beef serunding (Malay),"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-16cm (226.08g),Energy,729.33,kcal
8,"Beef, cooked with coconut milk, garlic, ginger, simmered (Malay)","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-20cm (283.4g),Energy,612.14,kcal
9,"Beef, wrapped in turmeric leaf, salt and pepper, roasted (Malay)","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,1 portion (49.66g),Energy,85.42,kcal
10,"Biscuits, with icing on top","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Packet (130g),Energy,539.5,kcal
11,Boiled crocodile meat,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,1 portion (175g),Energy,383.25,kcal
12,Braised beef tendon noodles,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (444g),Energy,461.76,kcal
13,Braised duck gizzards,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Piece (47g),Energy,70.5,kcal
14,Braised duck without skin,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,One quarter (248g),Energy,375.97,kcal
15,Braised large intestine,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-16cm (101g),Energy,164.63,kcal
