,food_name,food_group,food_sub_group,serving_measure,nutrient,Protein_amount,nutrient_unit
0,"Abalone noodles, soup","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (502g),Protein,18.22,g
1,Aloe vera drink,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Bottle (523g),Protein,0,g
2,Apple crumble,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Slice (146.04g),Protein,5.84,g
3,Assam petai (Malay),"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Plate-16cm (131g),Protein,8.25,g
4,Assam prawn,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Plate-23cm (414.5g),Protein,52.64,g
5,Assam prawn,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Plate-16cm (124g),Protein,19.84,g
6,Ayam masak merah,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-16cm (111.6g),Protein,11.72,g
7,Bakwan kepiting,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-soup (16 and 1/2 cm) (497g),Protein,14.91,g
8,Banana cake,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Slice (90g),Protein,5.04,g
9,Bee hoon soto,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (902.21g),Protein,19.76,g
10,Bee hoon soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (650g),Protein,29.25,g
11,Beef ball kway teow soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (550g),Protein,38.5,g
12,"Beef udon, soup","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (632g),Protein,24.52,g
13,"Beef, cooked in turmeric sauce, ginger, simmered (Malay)","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-16cm (159.88g),Protein,28.47,g
14,"Beef, spicy, stir fried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,1 portion (194.47g),Protein,34.23,g
15,"Birdnest, soaked","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Packet (32g),Protein,3.97,g
16,"Blood, in dark sauce, braised","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-16cm (160g),Protein,15.2,g
17,Boiled beef ball,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Whole (41g),Protein,5.54,g
18,Boiled crocodile meat,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,1 portion (175g),Protein,53.55,g
19,Braised beef stomach,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-20cm (225g),Protein,38.93,g
20,Braised chicken rice,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (309g),Protein,26.27,g
21,Braised duck tongue,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,1 portion (81g),Protein,10.29,g
22,Braised small intestine,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-16cm (74.3g),Protein,11.15,g
23,Braised soya sauce chicken,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Piece (33.9g),Protein,6.34,g
24,Bubur terigu,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",1 portion (400g),Protein,4.4,g
