,food_name,food_group,food_sub_group,serving_measure,nutrient,Sodium_amount,nutrient_unit
0,3-in-1 coffee powder,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Sachet (20g),Sodium,12.94,mg
1,Banana chips,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",1 portion (50g),Sodium,107.95,mg
2,Bandung,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,1 portion (250g),Sodium,17.5,mg
3,Bathusa,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (56g),Sodium,19.6,mg
4,Beef ball kway teow soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (550g),Sodium,1496,mg
5,"Beef, rendang with soya sauce, simmered (Malay)","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-16cm (138.18g),Sodium,960.21,mg
6,"Beef, wrapped in turmeric leaf, salt and pepper, roasted (Malay)","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,1 portion (49.66g),Sodium,274.12,mg
7,Beetroot halwa,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (92g),Sodium,4.6,mg
8,"Birdnest, soaked","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Packet (32g),Sodium,9.92,mg
9,"Biscuits, with icing on top","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Packet (130g),Sodium,282.1,mg
10,"Blood, in dark sauce, braised","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-16cm (160g),Sodium,948.8,mg
11,Boiled kampung chicken,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,One quarter (148g),Sodium,62.16,mg
12,Boiled spicy potato,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (84g),Sodium,43.68,mg
13,Boonthi,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",1 portion (50g),Sodium,16.5,mg
14,Braised duck without skin,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,One quarter (248g),Sodium,788.64,mg
15,Braised large intestine,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-16cm (101g),Sodium,642.36,mg
16,Bubur kanji,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (376.5g),Sodium,287.27,mg
17,Cheng tng,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Bowl-rice (11and 1/2 cm) (400g),Sodium,20,mg
18,Chicken and mushroom noodles soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (653g),Sodium,1782.69,mg
19,Chicken briyani,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (400g),Sodium,1428,mg
20,Chicken curry noodles,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (532g),Sodium,2581.26,mg
