,food_name,food_group,food_sub_group,serving_measure,nutrient,Sugar_amount,nutrient_unit
0,Almond jelly,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",1 portion (200g),Sugar,31,g
1,"Anchovy, dried, with peanut, fried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,1 portion (100g),Sugar,4.2,g
2,"Ang koo kueh, green bean fillling","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (51g),Sugar,4.13,g
3,"Athirasam, deep fried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (55g),Sugar,20.19,g
4,"Bak kut teh, soup only","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-soup (16 and 1/2 cm) (417g),Sugar,5.84,g
5,Banana chips,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",1 portion (50g),Sugar,3.99,g
6,"Beansprouts with salted fish, stir fried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Plate-20cm (75.9g),Sugar,1.62,g
7,Bee hoon soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (650g),Sugar,-6.5,g
8,"Biscuit, wafer (old)","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (9g),Sugar,2.29,g
9,Boiled chicken intestines,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-16cm (48g),Sugar,0,g
10,Boiled crocodile meat,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,1 portion (175g),Sugar,0,g
11,Braised beef stomach,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-20cm (225g),Sugar,3.15,g
12,Braised chicken rice,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (309g),Sugar,0.87,g
13,Braised egg in soya sauce,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Egg based dishes,Whole (52g),Sugar,0.62,g
14,Braised large intestine,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-16cm (101g),Sugar,0,g
15,Butterfly fritter,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (57g),Sugar,7.41,g
16,Chawamushi,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Egg based dishes,Bowl-rice (11and 1/2 cm) (124g),Sugar,1.79,g
17,"Cheese cake, Fiesta","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Slice (61g),Sugar,7.26,g
